Month,"HRC 
(FOB, $/t)","Iron Ore 
(CFR, $/t)","HCC 
(Aus FOB, $/t)",Domestic Scrap (DDP Jiangsu incl. VAT $/t),"RM Cost 
($/t)","HRC - RM 
Spread ($/t)",CS Production (Mnt),"Exports 
(Mnt)","Imports 
(Mnt)",Net Exports (Mnt),Export as % of Production,Cummulative FAI growth (%),Domestic Scrap (DDP Jiangsu incl. VAT $/t),"ACSU 
(Mnt)",Monthly Imports of semis & finished steel (Mt.),Monthly Export of semis & finished steel (Mt.),Monthly Iron ore Imports (Mt.),YTD Iron ore Imports (Mt.),YTD Iron ore Production (Mt.),Monthly Iron ore Production (Mt.),Stocks of iron ore at China's seaport (Mt.),YTD Growth rate of  Investment  (Fixed asset investment),Fixed asset investment in real estate development in urban areas (y-o-y )Growth,Floor space under construction (y-o-y),Automobile Production (y-o-y),Civil Metal-Vessels/Steel Ships (y-o-y),Household Fridges (y-o-y),Air Conditioner (y-o-y),Manufacturing PMI for steel
Sep-18,571,69,199,387,308,262,81,6,1,5,7%,5.3%,387,76,1.06,5.3,86.2,977.89,695,53.12,140.35,5.90%,9.70%,4.70%,-2.30%,-7.30%,2.90%,10.30%,45.2
Oct-18,550,73,217,382,334,217,82,6,1,4,7%,5.7%,382,78,1.01,5.56,,,763.4,68.41,139.74,5.90%,9.50%,5.20%,-4.10%,-7.50%,2.50%,10.00%,45.6
Nov-18,507,73,221,367,337,170,77,5,1,4,7%,5.9%,367,73,1.18,6.19,,91.26,,,139.74,6.10%,11.60%,,,,,,51.5
Dec-18,480,69,226,384,337,143,75,6,1,5,7%,5.9%,384,68,0.82,4.51,83.14,174.4,118.6,,146.88,6.10%,11.60%,6.80%,-15.10%,-21.40%,6.40%,6.20%,50.6
Jan-19,485,75,199,393,320,165,79,6,1,5,8%,6.1%,393,70,0.9,6.33,86.39,260.79,192.3,73.71,147.03,6.30%,11.80%,8.20%,-10.40%,14.30%,4.70%,13.30%,44.9
Feb-19,508,87,206,390,346,162,71,5,1,4,6%,6.1%,390,71,1,6.33,79.42,340.21,264.9,72.66,134.27,6.10%,11.90%,8.80%,-11.80%,13.80%,4.10%,12.50%,52.1
Mar-19,531,86,212,388,349,182,80,6,1,5,8%,6.3%,388,75,0.98,5.74,83.71,423.92,335.5,70.54,123.98,5.60%,11.20%,8.80%,-14.10%,6.60%,3.70%,11.00%,50
Apr-19,529,93,204,387,354,175,85,6,1,5,7%,6.1%,387,80,0.95,5.31,75.17,499.09,406.9,71.48,115.65,5.80%,10.90%,8.80%,-14.20%,7.40%,4.50%,10.20%,48.2
May-19,518,99,208,376,366,152,89,6,1,5,6%,5.6%,376,84,0.84,5.57,90.99,590.08,483.9,76.94,116.42,5.70%,10.50%,9.00%,-12.80%,5.00%,4.20%,8.70%,47.9
Jun-19,494,109,198,378,372,122,88,5,1,4,6%,5.8%,378,83,0.97,5.01,94.77,684.85,558.3,74.45,121.31,5.50%,10.50%,8.80%,-12.50%,7.00%,2.80%,7.90%,44.9
Jul-19,507,120,181,397,373,134,85,6,1,5,7%,5.7%,397,83,1.11,5.33,99.29,784.14,634.5,76.17,120.33,5.40%,10.50%,8.70%,-12.00%,10.00%,4.30%,6.40%,44.2
Aug-19,482,91,157,383,303,179,87,5,1,4,6%,5.5%,383,83,1.03,4.78,93.04,877.18,711.6,77.1,126.49,5.20%,10.30%,9.00%,-11.10%,8.40%,3.80%,6.20%,41.3
Sep-19,459,92,145,379,293,167,83,5,1,4,6%,5.4%,379,76,1.04,4.58,93.51,970.69,786.4,74.84,123.83,5.20%,10.20%,8.70%,-9.60%,10.70%,4.00%,5.80%,45.4
Oct-19,439,89,149,385,292,147,82,5,1,4,6%,5.2%,385,78,1.48,4.68,98.26,1068.95,844.4,57.92,126.96,5.40%,9.90%,8.70%,-8.00%,9.30%,8.10%,6.50%,43.1
Nov-19,444,85,134,390,269,175,80,5,1,4,6%,5.2%,390,77,2.04,7.81,,,,,123.53,-24.50%,-16.30%,,,,,,47.1
Dec-19,470,91,136,387,283,188,84,5,1,3,6%,5.4%,387,78,2.04,,,176.84,111.2,,121.7,-24.50%,-16.30%,2.90%,-45.80%,-22.90%,-37.40%,-40.20%,36.6
Jan-20,495,94,150,390,301,194,80,4,1,3,5%,-25%,390,71,1.14,6.48,85.6,262.44,187.9,76.71,116.95,-16.10%,-7.70%,2.60%,-44.60%,-28.50%,-19.80%,-27.90%,42.2
Feb-20,462,86,156,385,294,168,75,4,1,3,5%,-25%,385,82,1.01,6.32,95.96,358.4,262.7,74.84,113.98,-10.30%,-3.30%,2.50%,-32.30%,-15.40%,-16.50%,-24.80%,45.9
Mar-20,440,88,159,370,300,141,79,6,1,5,8%,-16%,370,74,1.28,4.4,86.5,444.9,337,74.23,107.81,-6.30%,-0.30%,2.30%,-23.60%,-15.10%,-12.70%,-23.10%,50.9
Apr-20,401,84,130,324,264,137,86,6,1,5,7%,-10%,324,74,1.88,3.7,101.52,546.42,414,76.98,107.81,-3.10%,1.90%,2.60%,-16.50%,-10.40%,-6.90%,-16.40%,49.3
May-20,413,93,114,356,262,151,93,4,1,3,5%,-6%,356,90,2.61,4.18,112.51,658.93,486.4,72.49,114.03,-1.60%,7.40%,3.00%,-9.70%,-9.10%,-2.00%,-14.00%,49.2
Jun-20,438,102,111,368,275,163,92,4,2,2,4%,-3%,368,92,2.24,3.68,100.28,759.21,562.2,75.74,111.1,-0.30%,4.60%,3.30%,-9.00%,-11.80%,-1.90%,-12.20%,47
Jul-20,457,108,113,379,285,172,95,4,3,2,4%,-2%,379,94,2.89,3.83,108.4,867.61,636.1,73.9,119.07,0.30%,5.60%,3.10%,-6.10%,-8.90%,1.70%,-11.70%,43.9
Aug-20,501,122,107,390,302,199,96,4,2,1,4%,0%,390,97,1.93,4.04,106.63,974.24,714.5,78.43,127.43,1.80%,6.30%,3.00%,-4.10%,-11.50%,4.00%,-10.70%,45.8
Sep-20,511,124,124,402,322,189,94,4,3,1,4%,0%,402,96,1.85,4.4,98.1,1072.34,789.2,74.72,126.05,2.60%,6.80%,3.20%,-2.70%,-10.30%,6.30%,-8.80%,49.3
Oct-20,511,119,121,400,311,200,93,4,2,2,4%,2%,400,92,1.38,4.85,97.17,1169.51,866.7,77.48,124.16,2.90%,7.00%,3.70%,-1.40%,-8.20%,8.40%,-8.30%,45.8
Nov-20,551,124,102,440,300,251,88,4,2,3,5%,3%,440,86,2.4,10.14,,,,,125.01,35.00%,38.30%,,,,,,44.3
Dec-20,643,156,101,455,351,293,91,5,1,3,5%,3%,455,89,2.4,,181.51,181.51,129.3,129.29,126.45,35.00%,38.30%,11.00%,89.90%,20.80%,83.00%,70.80%,48.6
Jan-21,661,168,124,495,393,268,92,5,1,4,6%,35%,495,89,1.32,7.54,101.93,283.44,234.6,105.26,131.33,25.60%,25.60%,11.20%,81.70%,43.80%,54.60%,49.80%,47.9
Feb-21,663,165,144,498,408,255,83,5,1,4,6%,35%,498,80,1.17,7.97,98.54,381.98,322.7,88.19,130.27,19.90%,21.60%,10.50%,53.40%,22.80%,40.90%,39.50%,45.4
Mar-21,733,167,116,521,382,351,94,8,1,6,8%,26%,521,90,1.21,5.27,89.79,471.77,405.8,83.04,126.22,15.40%,18.30%,10.10%,38.40%,21.40%,29.20%,33.40%,46.1
Apr-21,874,180,110,531,399,475,98,8,1,7,8%,20%,531,97,1.25,6.46,88.94,560.71,490.8,85.03,122.35,12.60%,15.00%,10.20%,26.40%,19.10%,18.80%,21.00%,45.1
May-21,970,206,125,598,455,515,100,5,1,4,5%,15%,598,96,1.05,5.67,88.32,649.03,570.2,79.37,128.13,10.30%,12.70%,9.00%,18.90%,13.80%,11.30%,17.30%,43.1
Jun-21,909,213,174,577,515,393,94,6,1,5,7%,13%,577,83,1.06,5.05,97.42,746.45,658.4,88.18,129.21,8.90%,10.90%,8.40%,13.50%,12.50%,6.70%,15.60%,41.8
Jul-21,905,211,209,587,546,358,87,6,1,5,7%,10%,587,86,1.26,4.92,95.5,841.95,743.4,85.01,133.22,7.30%,8.80%,7.90%,9.40%,7.00%,2.10%,13.00%,45
Aug-21,920,159,228,577,483,437,83,5,1,4,6%,9%,577,81,1.13,4.5,91.53,933.48,823.1,79.74,144.92,6.10%,7.20%,7.10%,7.10%,10.30%,0.30%,12.30%,38.3
Sep-21,909,120,350,581,542,368,74,5,1,4,7%,7%,581,71,1.42,4.36,104.88,1038.36,901.4,78.33,152.51,5.20%,6.00%,6.30%,5.30%,11.60%,-0.20%,11.40%,36.6
Oct-21,905,122,398,586,593,313,72,4,1,3,6%,6%,586,69,1,5.03,85.96,1124.32,980.5,79.09,156.26,4.90%,4.40%,5.20%,4.80%,8.00%,-0.40%,9.40%,38.7
Nov-21,786,95,368,525,520,266,69,4,1,3,6%,5%,525,68,1.01,8.23,,NA,NA,,153.1,NA,3.70%,NA,1.40%,NA,NA,NA,47.5
Dec-21,764,114,342,537,525,239,86,5,1,4,6%,5%,537,83,1.01,,,181.08,155.8,,158.87,12.20%,3.70%,1.80%,11.10%,-9.50%,-2.50%,3.90%,47.3
Jan-22,749,131,409,580,618,132,84,4,1,4,5%,NA,580,81,2.21,4.95,87.28,268.36,255.6,99.8,153.89,9.30%,0.70%,1.00%,4.90%,-9.80%,-5.90%,0.70%,44.3
Feb-22,798,141,445,582,671,127,76,4,0,3,5%,12%,582,73,0.96,4.98,86.02,354.38,330.8,75.24,145.18,6.80%,-2.70%,1.00%,-7.80%,-11.10%,-7.50%,-0.70%,40.5
Mar-22,855,150,592,596,832,23,90,5,2,3,6%,9%,596,82,0.81,7.76,92.47,446.85,423.9,93.09,134.54,6.20%,-4.00%,-1.00%,-7.20%,-13.10%,-8.10%,-0.80%,40.9
Apr-22,853,151,472,620,713,140,94,5,1,4,5%,7%,620,89,0.79,7.56,88.9,535.75,501.2,77.33,126.26,6.10%,-5.40%,-2.80%,-2.10%,-11.10%,-6.20%,1.10%,36.2
May-22,763,134,502,584,717,46,97,8,1,7,8%,6%,584,92,0.79,6.67,91.07,626.82,572.3,71.11,135.35,5.70%,-6.40%,-3.70%,-2.90%,-2.30%,-5.90%,1.10%,33
Jun-22,714,130,372,552,580,134,91,8,1,7,8%,6%,552,85,0.89,6.15,96.1,722.92,652.6,80.31,140.36,5.80%,-7.40%,-4.50%,6.10%,1.40%,-5.70%,1.90%,46.1
Jul-22,623,107,240,440,411,212,81,7,1,6,8%,6%,440,77,0.85,4.97,99.71,822.54,731.9,78.98,130.76,5.90%,-8.00%,-5.30%,8.10%,-0.80%,-3.10%,3.50%,46.6
Aug-22,597,105,244,457,411,186,84,6,1,5,7%,6%,457,79,0.77,5.18,94.98,917.42,809.9,72.68,129.44,5.80%,-8.80%,-5.70%,8.10%,-2.10%,-3.30%,3.20%,44.3
Sep-22,576,98,265,445,422,154,87,5,1,4,6%,6%,445,84,0.75,5.59,98.85,1016.1,889,79.54,132.78,5.30%,-9.80%,-6.50%,5.60%,-5.10%,-3.70%,2.00%,40.1
Oct-22,550,92,290,402,437,113,81,5,1,4,6%,6%,402,76,0.7,5.4,90.86,1106.86,967.9,78.61,131.86,5.10%,-10.00%,-7.20%,3.40%,-4.50%,-3.60%,1.80%,44.3
Nov-22,525,93,282,393,431,94,76,6,1,5,7%,5%,393,70,1.23,12.19,NA,NA,NA,NA,137.26,5.50%,-5.70%,-4.40%,-14.00%,-21.90%,7.90%,10.80%,46.6
Dec-22,574,111,263,436,440,134,79,5,1,5,7%,5%,436,73,1.23,,,194.2,150.35,,142.23,,-5.70%,-4.40%,-14.00%,-21.90%,7.90%,10.80%,50.1
Jan-23,622,123,318,460,514,108,83,6,1,6,8%,6%,460,83,0.68,7.89,100.14,294.34,243.267,92.91,134.61,5.10%,-5.80%,-5.20%,-5.10%,-7.90%,8.40%,12.60%,48.4
Feb-23,647,126,369,463,570,76,78,6,1,5,7%,6%,463,75,0.59,7.93,90.34,384.68,314.382,71.12,128.87,4.70%,-6.20%,-5.60%,4.30%,0.50%,11.00%,12.20%,45
Mar-23,666,127,345,462,548,118,96,8,1,7,8%,5%,462,85,0.63,8.36,96.07,480.75,391.352,76.97,127.43,4.00%,-7.20%,-6.20%,7.10%,-4.50%,12.40%,14.20%,35.2
Apr-23,623,116,269,437,455,168,93,8,1,7,9%,5%,437,85,0.61,7.51,95.39,576.14,476.759,85.41,127.42,3.80%,-7.90%,-6.60%,6.10%,1.60%,13.30%,16.60%,49.9
May-23,561,105,231,400,399,163,90,8,1,8,9%,4%,400,82,0.68,7.31,93.32,669.46,566.8,90.04,124.92,3.40%,-8.50%,-6.80%,4.50%,-0.30%,13.80%,17.90%,49.9
Jun-23,542,113,231,403,411,131,91,8,1,7,8%,4%,403,84,0.64,8.28,106.2,775.66,659.169,92.37,121.27,3.20%,-8.80%,-7.10%,4.80%,2.20%,14.50%,16.50%,45.2
Jul-23,550,112,232,410,412,138,91,7,1,7,8%,3%,410,84,0.64,8.06,100.99,876.65,742.766,83.6,113.85,3.10%,-9.10%,-7.10%,4.30%,2.80%,13.60%,13.70%,45.8
Aug-23,553,109,255,405,430,124,87,8,1,8,10%,3%,405,79,0.67,7.73,99.39,975.84,825.758,82.99,111.37,2.90%,-9.30%,-7.30%,4.90%,4.00%,14.10%,12.40%,45.6
Sep-23,537,121,306,403,499,38,82,8,1,7,10%,3%,403,75,0.61,8.01,39.54,1015.38,904.027,78.27,114.98,2.90%,-9.40%,-7.20%,6.80%,4.40%,14.20%,12.60%,48.2
Oct-23,526,119,353,398,544,-18,79,8,1,7,10%,3%,398,72,0.67,7.73,163.68,1179.06,990.555,86.53,119.92,3.00%,-7.20%,-7.20%,9.30%,1.60%,14.50%,13.50%,46
Nov-23,542,130,321,400,530,13,76,8,1,7,11%,3%,400,70,NA,NA,NA,NA,NA,NA,129.46,4.20%,-9.00%,-11.00%,51.20%,6.80%,12.80%,18.80%,46
Dec-23,560,136,326,412,544,15,67,8,1,7,11%,3%,412,60,1.13,15.91,,209.45,175.9,,138.93,4.20%,-9.00%,-11.00%,4.40%,6.80%,12.80%,18.80%,46
Jan-24,560,135,332,421,548,11,87,8,1,8,9%,4%,421,79,0.62,9.89,100.68,310.13,284.1,108.23,144.31,4.50%,-9.50%,-11.10%,5.30%,3.90%,12.80%,16.50%,44.2
Feb-24,550,125,315,417,515,35,81,8,1,7,9%,4%,417,74,0.66,9.22,73.99,384.12,368.9,84.78,147.59,4.20%,-9.80%,-10.80%,7.70%,2.40%,14.10%,17.60%,47.9
Mar-24,527,110,275,395,451,76,88,10,1,9,11%,5%,395,88,0.64,9.63,129.63,513.75,457.4,88.48,148.6,4.00%,-10.10%,-11.10%,6.60%,1.60%,12.10%,16.70%,49.8
Apr-24,519,111,239,374,416,103,86,9,1,9,11%,4%,374,69,0.58,8.75,97.42,611.17,554.1,96.75,149.26,3.90%,-10.10%,-12.00%,5.70%,1.30%,9.70%,13.80%,47.8
May-24,531,118,239,390,427,104,93,10,1,9,10%,4%,390,85,0.51,7.83,102.6,713.77,622.8,68.67,156.9,3.60%,-10.20%,-12.10%,4.50%,1.40%,7.30%,9.50%,42.5
Jun-24,518,107,249,378,420,98,92,9,1,8,10%,4%,378,83,0.51,9.5,101.18,814.95,696.5,73.73,160.32,3.40%,-10.20%,-12.00%,3.40%,1.10%,7.30%,7.80%,40.4
Jul-24,498,106,237,376,407,92,83,8,1,7,9%,4%,376,75,0.55,10.15,103.92,918.87,781.4,84.88,157.93,3.40%,-10.10%,-12.20%,2.70%,1.10%,7.50%,8.00%,49
Aug-24,464,99,206,346,363,100,78,9,1,9,12%,3%,346,68,0.54,11.18,103.84,1022.53,871.5,90.16,160.47,3.40%,-10.30%,-12.40%,3.00%,1.30%,8.50%,8.20%,54.6
Sep-24,453,94,187,337,337,116,77,10,1,10,13%,3%,337,66,0.47,9.28,101.86,,,,156.17,,,,,,,,50.6
Oct-24,497,104,204,354,370,127,82,11,1,11,14%,3%,354,70,,,,,,,,,,,,,,,
Nov-24,485,102,204,353,368,117,78,9,0,9,12%,,353,,,,,,,,,,,,,,,,
Dec-24,473,104,200,356,366,107,76,10,1,9,13%,,356,,,,,,,,,,,,,,,,
Jan-25,461,102,192,337,355,106,,,,,,,337,,,,,,,,,,,,,,,,
